,Day,Avg Min Temperature (°C),Avg Max Temperature (°C)
863,2011-12-15,14.390272397517949,18.505452285897437
864,2012-01-15,13.564224286564103,18.557346984051282
865,2012-02-15,13.49278801974359,18.557346984051282
866,2012-03-15,16.59749276746923,18.557346984051282
867,2012-04-15,18.83538976297436,18.557346984051282
868,2012-05-15,20.808297736564104,18.557346984051282
869,2012-06-15,22.08523187076923,18.557346984051282
870,2012-07-15,22.680808876923077,18.557346984051282
871,2012-08-15,22.756981690564103,18.557346984051282
872,2012-09-15,21.33665614071795,18.557346984051282
873,2012-10-15,19.374224169846155,18.557346984051282
874,2012-11-15,17.023776229076923,18.557346984051282
875,2012-12-15,14.132292980266667,18.557346984051282
876,2013-01-15,14.024382644841026,18.641759347897437
877,2013-02-15,15.04354942851282,18.641759347897437
878,2013-03-15,16.51399676482051,18.641759347897437
879,2013-04-15,18.806383612717948,18.641759347897437
880,2013-05-15,20.731656813333334,18.641759347897437
881,2013-06-15,21.95079159641026,18.641759347897437
882,2013-07-15,22.557493556410257,18.641759347897437
883,2013-08-15,22.377082110666667,18.641759347897437
884,2013-09-15,21.09249910902564,18.641759347897437
885,2013-10-15,19.250420335641024,18.641759347897437
886,2013-11-15,16.91299480579487,18.641759347897437
887,2013-12-15,14.439860911497437,18.641759347897437
888,2014-01-15,14.262975343097436,18.81176202928872
889,2014-02-15,15.05645816625641,18.81176202928872
890,2014-03-15,17.217933832307693,18.81176202928872
891,2014-04-15,19.174102646358975,18.81176202928872
892,2014-05-15,20.68775684,18.81176202928872
893,2014-06-15,22.006252992820514,18.81176202928872
894,2014-07-15,22.72698273671795,18.81176202928872
895,2014-08-15,22.43395552923077,18.81176202928872
896,2014-09-15,21.305161713846154,18.81176202928872
897,2014-10-15,19.358423357435896,18.81176202928872
898,2014-11-15,16.786161721282053,18.81176202928872
899,2014-12-15,14.724979512958974,18.81176202928872
900,2015-01-15,14.087165669517947,18.97277217948718
901,2015-02-15,15.086619385846154,18.97277217948718
902,2015-03-15,16.98743992076923,18.97277217948718
903,2015-04-15,18.803519365692306,18.97277217948718
904,2015-05-15,20.956140642461538,18.97277217948718
905,2015-06-15,22.011154491641022,18.97277217948718
906,2015-07-15,22.988706897435897,18.97277217948718
907,2015-08-15,23.078482060000002,18.97277217948718
908,2015-09-15,21.655559728410257,18.97277217948718
909,2015-10-15,19.511656128769232,18.97277217948718
910,2015-11-15,17.23858019276923,18.97277217948718
911,2015-12-15,15.268241955161537,18.97277217948718
912,2016-01-15,14.224845343794872,19.060733394871793
913,2016-02-15,16.010937086256412,19.060733394871793
914,2016-03-15,17.56103875441026,19.060733394871793
915,2016-04-15,19.60298642323077,19.060733394871793
916,2016-05-15,20.950494395384613,19.060733394871793
917,2016-06-15,22.291772961025643,19.060733394871793
918,2016-07-15,22.79705211948718,19.060733394871793
919,2016-08-15,22.739791624051282,19.060733394871793
920,2016-09-15,21.698082188,19.060733394871793
921,2016-10-15,19.29851406769231,19.060733394871793
922,2016-11-15,16.643043925502564,19.060733394871793
923,2016-12-15,14.910241834687179,19.060733394871793
924,2017-01-15,13.561220768153847,18.92420667834359
925,2017-02-15,15.139664561179488,18.92420667834359
926,2017-03-15,17.33016798025641,18.92420667834359
927,2017-04-15,18.957004625764103,18.92420667834359
928,2017-05-15,21.081616177948717,18.92420667834359
929,2017-06-15,22.42528136769231,18.92420667834359
930,2017-07-15,22.99414008564103,18.92420667834359
931,2017-08-15,22.96485706051282,18.92420667834359
932,2017-09-15,21.554957701897436,18.92420667834359
933,2017-10-15,19.490631897076923,18.92420667834359
934,2017-11-15,16.691150769153847,18.92420667834359
935,2017-12-15,14.899786867846153,18.92420667834359
